publication,year,start_page,assignee,DOI,Comments
Australasian Plant Pathology,2013,13,Zach,10.1007/s13313-012-0157-z,
Australasian Plant Pathology,2013,51,Adam,10.1007/s13313-012-0178-7,
Australasian Plant Pathology,2014,29,Nik,10.1007/s13313-013-0228-9,
Australasian Plant Pathology,2014,55,Zach,10.1007/s13313-013-0240-0,
Canadian Journal of Plant Pathology,2012,8,Emerson,10.1080/07060661.2012.664567,
Canadian Journal of Plant Pathology,2012,37,Zach,10.1080/07060661.2012.659679,
Canadian Journal of Plant Pathology,2012,141,Nik,10.1080/07060661.2012.681396,"Original random page number not applicable, selected next article sequentially"
Canadian Journal of Plant Pathology,2013,5,Nik,10.1080/07060661.2012.702128,
Canadian Journal of Plant Pathology,2014,9,Zach,10.1080/07060661.2013.868370,"Original random page number is review, next sequential article selected"
Canadian Journal of Plant Pathology,2015,72,Adam,10.1080/07060661.2014.986526,
Canadian Journal of Plant Pathology,2015,142,Emerson,10.1080/07060661.2015.1004111,
Crop Protection,2012,1,Nik,10.1016/j.cropro.2011.08.024,"Original random page number is review, next sequential article selected"
Crop Protection,2012,61,Zach,10.1016/j.cropro.2011.09.010,"Original random page number is review, next sequential article selected"
Crop Protection,2012,99,Nik,10.1016/j.cropro.2011.10.001,"Original random page number is review, next sequential article selected (also from second volume of year)"
Crop Protection,2013,82,Emerson,10.1016/j.cropro.2012.09.001,
Crop Protection,2013,85,Adam,10.1016/j.cropro.2012.09.009,Original random page number included in previous article. Next sequential article selected
Crop Protection,2014,8,Emerson,10.1016/j.cropro.2013.10.002,
Crop Protection,2014,22,Nik,10.1016/j.cropro.2013.10.003,
Crop Protection,2015,72,Adam,10.1016/j.cropro.2014.09.015,"Original random page number is review, next sequential article selected"
Crop Protection,2016,117,Adam,10.1016/j.cropro.2015.10.019,
European Journal of Plant Pathology,2012,54,Nik,10.1007/s10658-011-9847-6,
European Journal of Plant Pathology,2013,21,Emerson,10.1007/s10658-012-0034-1,
European Journal of Plant Pathology,2013,58,Nik,10.1007/s10658-012-0064-8,
European Journal of Plant Pathology,2013,63,Emerson,10.1007/s10658-012-0065-7,Original random page number included in previous article. Next sequential article selected
European Journal of Plant Pathology,2013,108,Zach,10.1007/s10658-012-0069-3,
European Journal of Plant Pathology,2014,150,Zach,10.1007/s10658-013-0315-3,
European Journal of Plant Pathology,2015,81,Emerson,10.1007/s10658-014-0525-3,
European Journal of Plant Pathology,2016,20,Nik,10.1007/s10658-015-0740-6,
Forest Pathology,2012,76,Emerson,10.1111/j.1439-0329.2010.00710.x,
Forest Pathology,2012,78,Emerson,10.1111/j.1439-0329.2011.00712.x,Original random page number included in previous article. Next sequential article selected
Forest Pathology,2012,142,Adam,10.1111/j.1439-0329.2011.00729.x,
Forest Pathology,2013,144,Adam,10.1111/efp.12011,
Forest Pathology,2014,125,Nik,10.1111/efp.12076,
Forest Pathology,2014,143,Emerson,10.1111/efp.12078,
Forest Pathology,2015,114,Nik,10.1111/efp.12134,
Forest Pathology,2016,146,Emerson,10.1111/efp.12239,
Forest Pathology,2016,150,Zach,10.1111/efp.12263,Original random page number included in previous article. Next sequential article selected
Journal of General Plant Pathology,2012,99,Adam,10.1007/s10327-012-0367-9,
Journal of General Plant Pathology,2012,125,Zach,10.1007/s10327-012-0364-z,
Journal of General Plant Pathology,2012,132,Adam,10.1007/s10327-012-0360-3,
Journal of General Plant Pathology,2012,141,Emerson,10.1007/s10327-012-0363-0,
Journal of General Plant Pathology,2013,4,Zach,10.1007/s10327-012-0405-7,
Journal of General Plant Pathology,2013,50,Nik,10.1007/s10327-012-0416-4,
Journal of General Plant Pathology,2013,99,Adam,10.1007/s10327-013-0428-8,
Journal of General Plant Pathology,2014,99,Zach,10.1007/s10327-013-0480-4,
Journal of General Plant Pathology,2014,99,Zach,10.1007/s10327-013-0491-1,"Random page number exact duplicate of last, next sequential article selected"
Journal of General Plant Pathology,2015,26,Emerson,10.1007/s10327-014-0557-8,
Journal of General Plant Pathology,2016,52,Adam,10.1007/s10327-015-0633-8,
Journal of General Plant Pathology,2016,124,Zach,10.1007/s10327-016-0656-9,
Journal of Phytopathology,2013,57,Zach,10.1111/jph.12031,
Journal of Phytopathology,2013,72,Emerson,10.1111/jph.12027,
Journal of Phytopathology,2013,87,Adam,10.1111/jph.12029,
Journal of Phytopathology,2013,143,Nik,10.1111/jph.12038,
Journal of Phytopathology,2014,53,Adam,10.1111/jph.12158,
Journal of Phytopathology,2015,2,Adam,10.1111/jph.12274,
Journal of Phytopathology,2015,67,Nik,10.1111/jph.12259,
Journal of Plant Pathology,2012,60,Emerson,10.4454/jpp.fa.2012.002,
Journal of Plant Pathology,2012,70,Zach,10.4454/jpp.fa.2012.003,Original random page number included in previous article. Next sequential article selected
Journal of Plant Pathology,2012,104,Emerson,10.4454/jpp.fa.2012.019,
Journal of Plant Pathology,2013,28,Emerson,10.4454/JPP.V95I1.003,
Journal of Plant Pathology,2013,107,Adam,10.4454/JPP.V95I1.004,
Journal of Plant Pathology,2013,125,Zach,10.4454/JPP.V95I1.028,
Journal of Plant Pathology,2014,144,Emerson,10.4454/JPP.V95I1.013,
Journal of Plant Pathology,2015,97,Nik,10.4454/JPP.V97I1.013,
Journal of Plant Pathology,2016,2,Adam,10.4454/JPP.V98I1.028,"Original random page number is review, next sequential article selected"
Journal of Plant Pathology,2016,105,Zach,10.4454/JPP.V98I1.030,
Journal of Plant Pathology,2016,132,Emerson,10.4454/JPP.V98I1.071,
Virology Journal (Plant Viruses Section),2012,37,Nik,,
Virology Journal (Plant Viruses Section),2012,66,Emerson,,
Virology Journal (Plant Viruses Section),2012,78,Emerson,,
Virology Journal (Plant Viruses Section),2012,140,Nik,,
Virology Journal (Plant Viruses Section),2013,15,Emerson,,
Virology Journal (Plant Viruses Section),2014,61,Emerson,,
Virology Journal (Plant Viruses Section),2014,139,Nik,,
Virology Journal (Plant Viruses Section),2016,10,Nik,,
Virology Journal (Plant Viruses Section),2016,105,Emerson,,
Virology Journal (Plant Viruses Section),2016,119,Emerson,,
Virology Journal (Plant Viruses Section),2016,128,Zach,,
Molecular Plant Pathology,2012,108,Zach,,
Molecular Plant Pathology,2012,142,Nik,,
Molecular Plant Pathology,2013,18,Zach,,
Molecular Plant Pathology,2013,57,Adam,,
Molecular Plant Pathology,2013,72,Nik,,
Molecular Plant Pathology,2013,107,Emerson,,
Molecular Plant Pathology,2013,141,Zach,,
Molecular Plant Pathology,2014,53,Zach,,
Molecular Plant Pathology,2014,149,Emerson,,
Molecular Plant Pathology,2015,145,Zach,,
Molecular Plant Pathology,2016,6,Nik,,
Molecular Plant Pathology,2016,94,Nik,,
Molecular Plant Pathology,2016,116,Zach,,
Molecular Plant Pathology,2016,121,Zach,,
Molecular Plant Pathology,2016,128,Nik,,
Molecular Plant-Microbe Interactions,2012,66,Adam,,
Molecular Plant-Microbe Interactions,2012,115,Adam,,
Molecular Plant-Microbe Interactions,2013,1,Zach,,
Molecular Plant-Microbe Interactions,2013,18,Emerson,,
Molecular Plant-Microbe Interactions,2014,56,Adam,,
Molecular Plant-Microbe Interactions,2014,136,Emerson,,
Molecular Plant-Microbe Interactions,2015,110,Emerson,,
