"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JXAM96NG","journalArticle","2012","Regliński, T.; Rodenburg, N.; Taylor, J. T.; Northcott, G. L.; Ah Chee, A.; Spiers, T. M.; Hill, R. A.","Trichoderma atroviride promotes growth and enhances systemic resistance to Diplodia pinea in radiata pine (Pinus radiata) seedlings","Forest Pathology","","1439-0329","10.1111/j.1439-0329.2010.00710.x","http://dx.doi.org/10.1111/j.1439-0329.2010.00710.x","","2012","2017-04-11 08:32:44","2017-04-11 08:32:44","","75-78","","1","42","","","","","","","","","","","","","","","","","bibtex: EFP:EFP710  bibtex[bdsk-url-1=http://dx.doi.org/10.1111/j.1439-0329.2010.00710.x]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7TF76K5","journalArticle","2012","Menkis, A.; Burokienė, D.","Distribution and genetic diversity of the root-rot pathogen Neonectria macrodidyma in a forest nursery","Forest Pathology","","1439-0329","10.1111/j.1439-0329.2011.00712.x","http://dx.doi.org/10.1111/j.1439-0329.2011.00712.x","","2012","2017-04-11 08:32:45","2017-04-11 08:32:45","","79-83","","1","42","","","","","","","","","","","","","","","","","bibtex: EFP:EFP712  bibtex[bdsk-url-1=http://dx.doi.org/10.1111/j.1439-0329.2011.00712.x]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7CCJ55XG","journalArticle","2012","FANG, Xiangling; PHILLIPS, Dennis; VERHEYEN, Gerry; LI, Hua; SIVASITHAMPARAM, Krishnapillai; BARBETTI, Martin","Yields and resistance of strawberry cultivars to crown and root diseases in the field, and cultivar responses to pathogens under controlled environment conditions","Phytopathologia Mediterranea","","1593-2095","","http://www.fupress.net/index.php/pm/article/view/9746","Devastating outbreaks of crown and root diseases have impacted severely on commercial strawberry production in Western Australia (W.A.). Studies were conducted to evaluate the yields, and resistance of three commercial strawberry cultivars to crown and root diseases, both in fumigated and non-fumigated field beds, and to determine the responses of eight commercial cultivars to individual pathogens under controlled conditions. In the field, cv. Camino Real showed the greatest fruit yield both in fumigated and non-fumigated beds, and was the most disease-resistant cultivar. Each cultivar had a greater fruit yield and a lower amount of plant decline in fumigated beds, compared with non-fumigated beds. Both for fumigated and non-fumigated beds, the amount of plant decline increased from August to November, particularly in non-fumigated beds. Under controlled conditions, cv. Festival was most resistant and cv. Camarosa most susceptible to wilt-causing Fusarium oxysporum. Against binucleate Rhizoctonia AG-A, Cylindrocarpon destructans and Phoma exigua, cv. Festival was most resistant and cv. Aromas most susceptible. Cultivar Camino Real was the most resistant to Gnomonia fructicola and Phytophthora cactorum and cv. Festival most resistant to Pythium ultimum. Against Macrophomina phaseolina, cv. Albion was the most resistant with cv. Camarosa the most susceptible. Cultivar Camarosa, the most widely grown cultivar in W.A., was most susceptible to F. oxysporum, while cv. Camino Real was resistant to F. oxysporum both in the field and the controlled environment conditions. Cultivar Festival is the most resistant cultivar to F. oxysporum and a range of different pathogens. The Australian bred cv. Juliette was as susceptible as cv. Camarosa to F. oxysporum, but relatively resistant to binucleate Rhizoctonia AG-A. This is the first study, not only to define the relative yield potentials of different cultivars in a situation where crown and root disease prevails in the field, but also to demonstrate differential resistance of current cultivars to specific pathogens associated with crown and root disease in W.A. For the first time, growers can now make informed choices about the cultivars they can deploy to minimise losses caused by diseases.","2012","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","1","51","","","","","","","","","","","","","","","","","bibtex: PM9746  bibtex[bdsk-url-1=http://www.fupress.net/index.php/pm/article/view/9746]","","","","binucleate Rhizoctonia; Fragaria x ananassa; fumigation; Fusarium oxysporum; plant decline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGAF4E2Z","journalArticle","2012","DRORI, Ran; SHARON, Amir; GOLDBERG, Doron; RABINOVITZ, Onn; LEVY, Maggie; DEGANI, Ofir","Molecular diagnosis for Harpophora maydis , the cause of maize late wilt in Israel","Phytopathologia Mediterranea","","1593-2095","","http://www.fupress.net/index.php/pm/article/view/10824","Late wilt of maize, caused by the fungus Harpophora maydis, is one of the most important fungal diseases in Egypt. The disease has also been reported from India, Hungary, Spain and Portugal. The pathogen survives for long periods in soil. Late wilt is currently controlled using maize varieties with reduced sensitivity, but virulent variants of the fungus may threaten these varieties. Common disease symptoms have been documented over 20 years in Upper Galilee (northern Israel), particularly the Hula Valley. Recently, prevalence of the disease has increased. This is the first confirmed report of the direct and primary cause of the disease in Israel. Isolates of the pathogen obtained from wilting maize plants were morphologically identical to those of strains found in Egypt and India. We modified a molecular method as a diagnostic assay of disease progress in an infested field in northern Israel. The assay identified the pathogen 50 d after seeding, before the emergence of disease symptoms, both in susceptible and partially resistant host plants. DNA assessment was consistent with the disease progress in a susceptible maize variety, and the pathogen also spread in partially resistant plants that showed no symptoms. Seeds of apparently healthy, partially resistant plants may therefore also spread the disease. A modified molecular method presented here is a preliminary step in developing a seed health assay.","2012","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","1","52","","","","","","","","","","","","","","","","","bibtex: PM10824  bibtex[bdsk-url-1=http://www.fupress.net/index.php/pm/article/view/10824]","","","","fungal; Harpophora maydis; late wilt; maize; molecular diagnosis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9WWE54I","journalArticle","2014","BALCONI, Carlotta; BERARDO, Nicola; LOCATELLI, Sabrina; LANZANOVA, Chiara; TORRI, Alessio; REDAELLI, Rita","Evaluation of ear rot ( Fusarium verticillioides ) resistance and fumonisin accumulation in Italian maize inbred lines","Phytopathologia Mediterranea","","1593-2095","","http://www.fupress.net/index.php/pm/article/view/11776","Mycotoxin contamination of maize (Zea mays L.) grain is a global threat to the safety of both human food and animal feed. Hence, the development of maize genotypes with reduced mycotoxin accumulation in grain is of major importance. In order to find maize germplasm sources of resistance to Fusarium ear rot, 34 Italian and six public inbred lines were evaluated by means of artificial inoculation in field experiments during 2009 and 2010. Relationships between ear rot and fumonisin concentration in the ears were investigated. Primary ears were challenged with a mixture of two Fusarium verticillioides isolates from Northern Italy, through kernel inoculation, and ear rot severity was assessed.The average number of visibly infected kernels per ear, after inoculation, ranged from 2 to 68 in 2009 and from 0 to 120 in 2010. Fumonisin concentrations in the inoculated ears were greater than in the experimental controls for both years. Variability was found between the inbred lines: fumonisin accumulation ranged from 0.56 to 240.83 mg kg-1 in 2009 and from 1.09 to 190.60 mg kg-1 in 2010. In both years, six inbred lines showed high fumonisin content (≥100 mg kg-1), while the other genotypes were almost equally split into two groups, low (≤10 mg kg-1) and medium (from 11 to 100 mg kg-1) fumonisin content. The number of infected kernels after artificial inoculation correlated with fumonisin concentration both in 2009 (r = 0.94; P≤0.01) and 2010 (r = 0.67; P≤0.01). Additionally, the percentage of internally infected kernels correlated positively with fumonisin concentration (r = 0.37; P≤0.01) and with the number of infected kernels (r = 0.29; P≤0.05). This research has demonstrated that Italian maize germplasm is a valid source of resistance to Fusarium ear rot. Furthermore, there is a strong association of visible Fusarium symptoms with fumonisin concentration, suggesting that selection in maize for reduced visible moulds should reduce the risk of mycotoxin contamination.","2014","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","1","53","","","","","","","","","","","","","","","","","bibtex: PM11776  bibtex[bdsk-url-1=http://www.fupress.net/index.php/pm/article/view/11776]","","","","artificial inoculation; fungal pathogen; genetic variability; mycotoxin; Zea mays L..","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVBZ37JX","journalArticle","2015","CARLUCCI, Antonia; CIBELLI, Francesca; LOPS, Francesco; PHILLIPS, Alan; CICCARONE, Claudio; RAIMONDO, Maria","Pleurostomophora richardsiae associated with trunk diseases of grapevines in southern Italy","Phytopathologia Mediterranea","","1593-2095","","http://www.fupress.net/index.php/pm/article/view/15257","Pleurostomophora richardsiae (Nannf. apud Melin  Nannf.) L. Mostert, W. Gams  Crous was previously known mainly as a human pathogen. However, more recently this fungus has been isolated from wood tissue of grapevines that show Petri and esca disease symptoms in California (USA) and South Africa. During an assessment carried out in southern Italy, the abundant presence of this fungus was demonstrated by morphological, cultural and molecular means. Pleurostomophora richardsiae was isolated from sub-cortical wood patches and streaking of trunks and cordons of grapevine cultivars that showed decline and dieback symptoms. To understand its putative pathogenic role, pathogenicity tests were conducted in greenhouse experiments, where young grapevine plants of two cultivars were artificially inoculated with two isolates each of Pl. richardsiae, Lasiodiplodia theobromae and Phaeoacremonium aleophilum. Within 130 d, all three fungi produced brown streaking in both grapevine cultivars. The L. theobromae and Pl. richardsiae isolates were the most aggressive. Although the Pm. aleophilum isolates were pathogenic, they induced less severe wood streaking than the other two fungi. Therefore, Pl. richardsiae is considered a fungal pathogen of grapevine. All three fungal species were re-isolated from discolored tissue of all inoculated shoots, thus fulfilling Koch's postulates.","2015","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","1","54","","","","","","","","","","","","","","","","","bibtex: PM15257  bibtex[bdsk-url-1=http://www.fupress.net/index.php/pm/article/view/15257]","","","","pathogenicity; phylogeny; Vitis vinifera; wood browning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"552XE5AM","journalArticle","2015","LINALDEDDU, Benedetto; SCANU, Bruno; SEDDAIU, Salvatore; DEIDDA, Antonio; MADDAU, Lucia; FRANCESCHINI, Antonio","A new disease of Erica arborea in Italy caused by Neofusicoccum luteum","Phytopathologia Mediterranea","","1593-2095","","http://www.fupress.net/index.php/pm/article/view/14047","Shoot blight was observed on Erica arborea L., in a natural growing area on Caprera Island (Italy), during 2011 and 2012. Fungal isolates obtained from 324 symptomatic shoots were identified as Neofusicoccum luteum by analysis of morphological and cultural characteristics, as well as DNA sequence data of the Internal Transcribed Spacer (ITS) of the ribosomal DNA and part of the translation Elongation Factor 1-alpha (EF-1α) gene. Pathogenicity of the fungus was verified by stem inoculation of 3-year-old seedlings of E. arborea. This is the first report of N. luteum as a pathogen of E. arborea.","2015","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","1","54","","","","","","","","","","","","","","","","","bibtex: PM14047  bibtex[bdsk-url-1=http://www.fupress.net/index.php/pm/article/view/14047]","","","","Botryosphaeriaceae; Caprera Island; shoot blight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEPUBIVR","journalArticle","2016","OREL, Didem CANIK; KARAGOZ, Alper; DURMAZ, Rıza; ERTUNC, Filiz","Phenotypic and molecular characterization of Rhizobium vitis strains from vineyards in Turkey","Phytopathologia Mediterranea","","1593-2095","","http://www.fupress.net/index.php/pm/article/view/15776","Crown gall-affected grapevine samples were collected during 2009--2010 from major vineyards, located in different Turkish provinces. One hundred and three bacterial strains were obtained from 88 vineyards and 18 grapevine varieties; they were tumorigenic when inoculated in tobacco, sunflower and Datura stramonium plants and were identified as Rhizobium vitis using biochemical and physiological tests as well as PCR and specific primers. Nineteen R. vitis strains presented a number of anomalous biochemical and physiological characters. PCR and opine-specific primers revealed the presence of octopine/cucumopine-type plasmid in 82 R. vitis strains, nopaline-type plasmids in 18 strains and vitopine-type plasmids in three strains. Clonal relationship of strains was determined using Pulsed Field Gel Electrophoresis following digestion of genomic DNA with the restriction endonuclease PmeI. The greatest genetic diversity was found for the strains from Denizli, Ankara and Nevşehir provinces. Nopaline and vitopine-types of Rhizobium vitis were detected for the first time in Turkey.","2016","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","1","55","","","","","","","","","","","","","","","","","bibtex: PM15776  bibtex[bdsk-url-1=http://www.fupress.net/index.php/pm/article/view/15776]","","","","opine; PCR; PFGE; Rhizobium vitis; similarity rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSI7FZCH","journalArticle","2016","MABROUK, Yassine; MEJRI, Sonia; HEMISSI, Imen; BELHADJ, Omrane","Biochemical analysis of induced resistance in chickpea against broomrape ( Orobanche foetida ) by rhizobia inoculation","Phytopathologia Mediterranea","","1593-2095","","http://www.fupress.net/index.php/pm/article/view/16338","This study examined the capacity of Rhizobium sp. strain PchAZM to reduce parasitism of chickpea by Orobanche foetida under greenhouse conditions, and assessed the relative impact of rhizobia on the expression of chickpea defense response against broomrape. Growth chamber experiments using Petri dishes revealed that rhizobia infection on chickpea roots reduced broomrape seed germination, and restricted the broomrape attachment to host roots while retarding tubercle formation and development by the parasite. In pot experiments, chickpea roots inoculated with rhizobia reduced the total number of broomrape by up to 90%. Broomrape necrosis was observed both before and after parasite attachment to inoculated chickpea roots in Petri dishes and pot experiments. Reduction in infection was accompanied by enhanced levels of the defence-related enzymes phenylalanine ammonia lyase (PAL) and peroxidase (POX). Increased levels of phenolics were recorded in the roots of rhizobia-inoculated plants grown in the presence of broomrape. The results suggest that rhizobia could be used for protection of chickpea against O. foetida.","2016","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","1","55","","","","","","","","","","","","","","","","","bibtex: PM16338  bibtex[bdsk-url-1=http://www.fupress.net/index.php/pm/article/view/16338]","","","","biocontrol; defense related enzymes; legume crops; phenolic content","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KF7HTUAS","journalArticle","2012","Turechek, W. W.","Spatial Distribution of Crown Gall in a Commercial Nursery of Weeping Fig","Plant Health Progress","","","10.1094/php-2012-1126-01-rs","https://doi.org/10.1094%2Fphp-2012-1126-01-rs","","2012","2017-04-11 08:32:45","2017-04-11 08:32:45","","","","","","","","","","","","","","","","","","","","","","bibtex: Turechek2012  bibtex[bdsk-url-1=https://doi.org/10.1094%2Fphp-2012-1126-01-rs;bdsk-url-2=http://dx.doi.org/10.1094/php-2012-1126-01-rs]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
