"publication","year.x","start_page","assignee","doi","comments","bibtype","url","month","publisher","volume","number","pages","author","title","journal","editor"
"Australasian Plant Pathology",2013,13,"Zach","10.1007/s13313-012-0157-z","","Article","https://doi.org/10.1007%2Fs13313-012-0157-z","oct","Springer Nature","42","1","9--16","Meenu Bareja and Ritu Mawar and Manish Mathur and Satish Lodha","On {\textendash}farm waste-based composts in managing Macrophomina phaseolina induced dry root rot of guar in an arid environment","Australasian Plant Pathology",NA
"Australasian Plant Pathology",2013,51,"Adam","10.1007/s13313-012-0178-7","","Article","https://doi.org/10.1007%2Fs13313-012-0178-7","dec","Springer Nature","42","1","43--51","J. Elith and J. Simpson and M. Hirsch and M. A. Burgman","Taxonomic uncertainty and decision making for biosecurity: spatial models for myrtle/guava rust","Australasian Plant Pathology",NA
"Australasian Plant Pathology",2014,29,"Nik","10.1007/s13313-013-0228-9","","Article","https://doi.org/10.1007%2Fs13313-013-0228-9","may","Springer Nature","43","1","25--31","R. Billones-Baaijens and E. E. Jones and H. J. Ridgway and M. V. Jaspers","Susceptiblity of common rootstock and scion varieties of grapevines to Botryosphaeriaceae species","Australasian Plant Pathology",NA
"Australasian Plant Pathology",2014,55,"Zach","10.1007/s13313-013-0240-0","","Article","https://doi.org/10.1007%2Fs13313-013-0240-0","jul","Springer Nature","43","1","53--60","Hong-chun Luo and Guo-kang Chen and Cui-ping Liu and Yun Huang and Chong-gang Xiao","An improved culture solution technique for Plasmodiophora brassicae infection and the dynamic infection in the root hair","Australasian Plant Pathology",NA
"Canadian Journal of Plant Pathology",2012,8,"Emerson","10.1080/07060661.2012.664567","","Article","https://doi.org/10.1080%2F07060661.2012.664567","jan","Informa {UK} Limited","34","1","3--12","Guus Bakkeren and Xiao Song and Vinay Panwar and Rob Linning and Xiben Wang and Christof Rampitsch and Brent McCallum and John Fellers and Barry Saville","Functional genomic approaches in cereal rusts","Canadian Journal of Plant Pathology",NA
"Canadian Journal of Plant Pathology",2012,37,"Zach","10.1080/07060661.2012.659679","","Article","https://doi.org/10.1080%2F07060661.2012.659679","jan","Informa {UK} Limited","34","1","34--41","Zheng-Nan Li and Lei Zhang and Yao-Bo Bai and Ping Liu and Yun-Feng Wu","Detection and identification of the elm yellows group phytoplasma associated with Puna chicory flat stem in China","Canadian Journal of Plant Pathology",NA
"Canadian Journal of Plant Pathology",2012,141,"Nik","10.1080/07060661.2012.681396","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1080%2F07060661.2012.681396","apr","Informa {UK} Limited","34","2","165--176","Lamia Aouar and Sylvain Lerat and Ammar Ouffroukh and Abderrahmane Boulahrouf and Carole Beaulieu","Taxonomic identification of rhizospheric actinobacteria isolated from Algerian semi-arid soil exhibiting antagonistic activities against plant fungal pathogens","Canadian Journal of Plant Pathology",NA
"Canadian Journal of Plant Pathology",2013,5,"Nik","10.1080/07060661.2012.702128","","Article","https://doi.org/10.1080%2F07060661.2012.702128","jan","Informa {UK} Limited","35","1","1--9","Ahmed F. El-Bebany and Hassna Alkher and Lorne R. Adam and Fouad Daayf","Vegetative compatibility {ofVerticillium} dahliaeisolates from potato and sunflower using nitrate non-utilizing (nit) mutants and {PCR}-based approaches","Canadian Journal of Plant Pathology",NA
"Canadian Journal of Plant Pathology",2014,9,"Zach","10.1080/07060661.2013.868370","Original random page number is review, next sequential article selected","Article","https://doi.org/10.1080%2F07060661.2013.868370","jan","Informa {UK} Limited","36","1","12--21","Li Wang and Christopher Mogg and Sean Walkowiak and Manisha Joshi and Rajagopal Subramaniam","Characterization of {NADPH} oxidase {genesNoxAandNoxBinFusarium} graminearum","Canadian Journal of Plant Pathology",NA
"Canadian Journal of Plant Pathology",2015,72,"Adam","10.1080/07060661.2014.986526","","Article","https://doi.org/10.1080%2F07060661.2014.986526","dec","Informa {UK} Limited","37","1","67--81","Jean A. Béru é and Guillaume G. Nicolas","Alien fungal species on asymptomatic live woody plant material imported into Canada","Canadian Journal of Plant Pathology",NA
