Journal ,IF_2year, IF_5year,"Source: InCites Journal Citation Reports, Clarivate Analytics, 2018"
Australasian Plant Pathology,1.106,1.36,
Canadian Journal of Plant Pathology,0.846,1.197,
Crop Protection,2.172,2.353,
European Journal of Plant Pathology,1.744,1.754,
Forest Pathology,1.434,1.58,
Journal of General Plant Pathology,0.887,1.164,
Journal of Phytopathology,1.097,1.017,
Journal of Plant Pathology,0.818,1.041,
Molecular Plant Pathology,4.379,4.697,
Molecular Plant-Microbe Interactions,3.649,4.449,
Nematology,1.216,1.115,
Physiological and Molecular Plant Pathology,1.678,1.609,
Phytoparasitica,1.022,1.284,
Phytopathologia Mediterranea,1.974,1.819,
Phytopathology,3.264,3.67,
Plant Disease,3.583,3.77,
Plant Health Progress,NA,NA,
Plant Pathology,2.493,2.563,
Revista Mexicana de Fitopatología,NA,NA,
Tropical Plant Pathology,1.254,1.131,
Virology Journal (Plant Viruses Section),2.464,2.468,
