journal,abbreviation,year,contains_page,assignee,doi,comments,IF_5year,open,repro_inst,art_class,molecular,software_cite,software_avail,comp_mthds_avail,data_avail,software_used,category,bibtexkey,address,annote,author,booktitle,chapter,crossref,edition,editor,howpublished,institution,key,month,note,number,organization,pages,publisher,school,series,title,type,volume,url,issn,x.article.pm..title
Australasian Plant Pathology,Australas Plant Path,2013,13,Zach,10.1007/s13313-012-0157-z,"The journal has guidelines for data availability, but does not mention reproducibility exactly. I am not sure how this effects the ""repo_inst"" value. For the ""country"", I put the country of where the authors worked.",1.139,BOTH,2,Applied,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,1,NA,NA,NA,NA,NA,On–farm waste-based composts in managing \textit{{Macrophomina phaseolina}} induced dry root rot of guar in an arid environment,NA,42,NA,NA,NA
Australasian Plant Pathology,Australas Plant Path,2013,51,Adam,10.1007/s13313-012-0178-7,"When the article was published I'm not sure that MaxEnt was freely available, however, very recently (1st half 2017) it's become freely available",1.139,BOTH,2,Applied,FALSE,3,3,0,2,MaxEnt,ARTICLE,NA,NA,NA,"J Elith, J Simpson, M Hirsch, M A Burgman",NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,1,NA,43--51,NA,NA,NA,Taxonomic uncertainty and decision making for biosecurity: spatial models for myrtle/guava rust,NA,42,NA,NA,NA
Australasian Plant Pathology,Australas Plant Path,2014,29,Adam,10.1007/s13313-013-0228-9,NA,1.139,BOTH,2,Applied,FALSE,3,2,0,0,GenStat,NA,NA,NA,NA,"R. Billones-Baaijens, E. E. Jones, H. J. Ridgway, M. V. Jaspers",NA,NA,NA,NA,NULL,NA,NA,NA,may,NA,1,NA,25--31,NA,NA,NA,Susceptibility of common rootstock and scion varieties of grapevines to \textit{{Botryosphaeriaceae}} species,NA,43,NA,NA,NA
Australasian Plant Pathology,Australas Plant Path,2014,55,Zach,10.1007/s13313-013-0240-0,"The journal has guidelines for data availability, but does not mention reproducibility exactly. I am not sure how this effects the ""repo_inst"" value. For the ""country"", I put the country of where the authors worked.",1.139,BOTH,2,Applied,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NULL,NA,NA,NA,jul,NA,1,NA,53--60,NA,NA,NA,An improved culture solution technique for \textit{{Plasmodiophora brassicae}} infection and the dynamic infection in the root hair,NA,43,NA,NA,NA
Australasian Plant Pathology,Australas Plant Path,2017,75,Kaique,10.1007/s13313-017-0465-4,NA,1.203,BOTH,2,Applied,FALSE,0,0,0,0,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australasian Plant Pathology,Australas Plant Path,2018,11,Kaique,10.1007/s13313-017-0532-x,NA,1.36,BOTH,2,Applied,TRUE,2,3,0,3,"Sequence Scanner, MEGA, MAFFT, MrModeltest, MrBayes, PAUP",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australasian Plant Pathology,Australas Plant Path,2017,40,Kaique,10.1007/s13313-016-0458-8,NA,1.203,BOTH,2,Fundamental,TRUE,1,3,0,0,"POPGENE, GenAlex",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australasian Plant Pathology,Australas Plant Path,2017,16,Kaique,10.1007/s13313-016-0461-0,"Original random page number not applicable, selected first following plant pathology article",1.203,TRUE,2,Fundamental,TRUE,1,3,0,3,"iPhyClassifier, BioEdit, MEGA",NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2012,37,Zach,10.1080/07060661.2012.659679,"DNAMAN costs $789
",1.239,BOTH,2,Applied,FALSE,2,1,0,3,"LaserGene, BLAST, DNAMAN, MEGA",ARTICLE,Li_2012,NA,NA,"Zheng-Nan Li, Lei Zhang, Yao-Bo Bai, Ping Liu, Yun-Feng Wu",NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,34--41,Informa {UK} Limited,NA,NA,Detection and identification of the elm yellows group phytoplasma associated with Puna chicory flat stem in China,NA,34,https://doi.org/10.1080%2F07060661.2012.659679,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2012,8,Adam,10.1080/07060661.2012.660195,"Original random page number not applicable, selected next article sequentially. However, a mistake meant duplicates, so the second seqential article that applied was selected",1.239,BOTH,2,Applied,FALSE,3,2,0,0,SAS,ARTICLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jan,NA,1,NA,NA,Informa {UK} Limited,NA,NA,NA,NA,34,https://doi.org/10.1080%2F07060661.2012.664567,NA,NA
Canadian Journal of Plant Pathology,Can J Plant Pathol,2015,72,Adam,10.1080/07060661.2014.986526,NA,1.239,BOTH,2,Applied,TRUE,2,1,0,0,"BLAST, Sequencher",ARTICLE,NA,NA,NA,"Jean A. Bérubé, Guillaume G. Nicolas",NA,NA,NA,NA,NULL,NA,NA,NA,jan,NA,1,NA,67--81,NA,NA,NA,Alien fungal species on asymptomatic live woody plant material imported into Canada,NA,37,http://dx.doi.org/10.1080/07060661.2014.986526,NA,NA
