,publication,year,start_page,assignee,doi,Article,Authors,Vol,Iss,pp,IF,Page_charges,Country,Open_or_Restricted,Reproducibility_instructions,Iss_per_Year,Article_class,Supl_mats,Comp_methods_availability,Software_availability,Software_citation,Analysis_automation,Data_availability,Data_annotation,Data_tidiness,Reproducibility_score
1,Journal of General Plant Pathology,2013,99,Adam,,,,,,,,,,,,,,,,,,,,,,
2,Journal of Plant Pathology,2013,28,Emerson,,,,,,,,,,,,,,,,,,,,,,
3,Physiological and Molecular Plant Pathology,2014,144,Zach,,,,,,,,,,,,,,,,,,,,,,
4,Revista Mexicana de Fitopatología,2013,135,Nik,,,,,,,,,,,,,,,,,,,,,,
5,Forest Pathology,2012,142,Adam,,,,,,,,,,,,,,,,,,,,,,
6,Plant Pathology,2014,109,Emerson,,,,,,,,,,,,,,,,,,,,,,
7,Revista Mexicana de Fitopatología,2014,56,Zach,,,,,,,,,,,,,,,,,,,,,,
8,Phytoparasitica,2012,118,Nik,,,,,,,,,,,,,,,,,,,,,,
9,Phytoparasitica,2013,2,Adam,,,,,,,,,,,,,,,,,,,,,,
10,Canadian Journal of Plant Pathology,2015,142,Emerson,,,,,,,,,,,,,,,,,,,,,,
11,Forest Pathology,2016,150,Zach,,,,,,,,,,,,,,,,,,,,,,
12,European Journal of Plant Pathology,2012,54,Nik,,,,,,,,,,,,,,,,,,,,,,
13,Phytopathologia Mediterranea,2015,113,Adam,,,,,,,,,,,,,,,,,,,,,,
14,Virology Journal (Plant Viruses Section),2016,119,Emerson,,,,,,,,,,,,,,,,,,,,,,
15,Plant Disease,2016,106,Zach,,,,,,,,,,,,,,,,,,,,,,
16,Molecular Plant Pathology,2013,72,Nik,,,,,,,,,,,,,,,,,,,,,,
17,Phytopathology,2015,75,Adam,,,,,,,,,,,,,,,,,,,,,,
18,Tropical Plant Pathology,2016,47,Emerson,,,,,,,,,,,,,,,,,,,,,,
19,Journal of Plant Pathology,2016,105,Zach,,,,,,,,,,,,,,,,,,,,,,
20,Plant Disease,2013,124,Nik,,,,,,,,,,,,,,,,,,,,,,
21,Revista Mexicana de Fitopatología,2013,66,Adam,,,,,,,,,,,,,,,,,,,,,,
22,Forest Pathology,2012,78,Emerson,,,,,,,,,,,,,,,,,,,,,,
23,Phytoparasitica,2013,100,Zach,,,,,,,,,,,,,,,,,,,,,,
